source_slug,station_code,station_name,station_index,observation_hour_local,pm25_ugm3,vn_aqi_pm25,pm25_status,vn_aqi_status,pm25_method,vn_aqi_method,raw_sample_count,raw_time_resolution_minutes,backup_station_code,snapshot_time_utc
cem,31390903576425084107499649578,Hà Nội: Số 1 đường Giải Phóng - phường Bạch Mai (KK),31390903576425084107499649578,2026-06-13 17:00,,3,missing,reported,,reported_hourly_pm25_aqi_nowcast,1,60,31390903576425084107499649578,2026-06-14T08:40:38.407831+00:00
cem,31390903576425084107499649578,Hà Nội: Số 1 đường Giải Phóng - phường Bạch Mai (KK),31390903576425084107499649578,2026-06-13 18:00,,15,missing,reported,,reported_hourly_pm25_aqi_nowcast,1,60,31390903576425084107499649578,2026-06-14T08:40:38.407831+00:00
cem,31390903576425084107499649578,Hà Nội: Số 1 đường Giải Phóng - phường Bạch Mai (KK),31390903576425084107499649578,2026-06-13 19:00,,32,missing,reported,,reported_hourly_pm25_aqi_nowcast,1,60,31390903576425084107499649578,2026-06-14T08:40:38.407831+00:00
cem,31390903576425084107499649578,Hà Nội: Số 1 đường Giải Phóng - phường Bạch Mai (KK),31390903576425084107499649578,2026-06-13 20:00,,37,missing,reported,,reported_hourly_pm25_aqi_nowcast,1,60,31390903576425084107499649578,2026-06-14T08:40:38.407831+00:00
cem,31390903576425084107499649578,Hà Nội: Số 1 đường Giải Phóng - phường Bạch Mai (KK),31390903576425084107499649578,2026-06-13 21:00,,44,missing,reported,,reported_hourly_pm25_aqi_nowcast,1,60,31390903576425084107499649578,2026-06-14T08:40:38.407831+00:00
cem,31390903576425084107499649578,Hà Nội: Số 1 đường Giải Phóng - phường Bạch Mai (KK),31390903576425084107499649578,2026-06-13 22:00,,54,missing,reported,,reported_hourly_pm25_aqi_nowcast,1,60,31390903576425084107499649578,2026-06-14T08:40:38.407831+00:00
cem,31390903576425084107499649578,Hà Nội: Số 1 đường Giải Phóng - phường Bạch Mai (KK),31390903576425084107499649578,2026-06-13 23:00,,73,missing,reported,,reported_hourly_pm25_aqi_nowcast,1,60,31390903576425084107499649578,2026-06-14T08:40:38.407831+00:00
cem,31390903576425084107499649578,Hà Nội: Số 1 đường Giải Phóng - phường Bạch Mai (KK),31390903576425084107499649578,2026-06-14 00:00,,95,missing,reported,,reported_hourly_pm25_aqi_nowcast,1,60,31390903576425084107499649578,2026-06-14T08:40:38.407831+00:00
cem,31390903576425084107499649578,Hà Nội: Số 1 đường Giải Phóng - phường Bạch Mai (KK),31390903576425084107499649578,2026-06-14 01:00,,107,missing,reported,,reported_hourly_pm25_aqi_nowcast,1,60,31390903576425084107499649578,2026-06-14T08:40:38.407831+00:00
cem,31390903576425084107499649578,Hà Nội: Số 1 đường Giải Phóng - phường Bạch Mai (KK),31390903576425084107499649578,2026-06-14 02:00,,109,missing,reported,,reported_hourly_pm25_aqi_nowcast,1,60,31390903576425084107499649578,2026-06-14T08:40:38.407831+00:00
