source_slug,station_code,station_name,station_index,observation_hour_local,pm25_ugm3,vn_aqi_pm25,pm25_status,vn_aqi_status,pm25_method,vn_aqi_method,raw_sample_count,raw_time_resolution_minutes,backup_station_code,snapshot_time_utc
cem,31390912357075263208060500522,HCM: Khu Liên cơ quan Bộ Tài Nguyên và Môi Trường - số 200 Đ. Lý Chính Thắng (KK),31390912357075263208060500522,2026-06-13 16:00,,44,missing,reported,,reported_hourly_pm25_aqi_nowcast,1,60,31390912357075263208060500522,2026-06-14T08:41:31.019571+00:00
cem,31390912357075263208060500522,HCM: Khu Liên cơ quan Bộ Tài Nguyên và Môi Trường - số 200 Đ. Lý Chính Thắng (KK),31390912357075263208060500522,2026-06-13 17:00,,37,missing,reported,,reported_hourly_pm25_aqi_nowcast,1,60,31390912357075263208060500522,2026-06-14T08:41:31.019571+00:00
cem,31390912357075263208060500522,HCM: Khu Liên cơ quan Bộ Tài Nguyên và Môi Trường - số 200 Đ. Lý Chính Thắng (KK),31390912357075263208060500522,2026-06-13 18:00,,30,missing,reported,,reported_hourly_pm25_aqi_nowcast,1,60,31390912357075263208060500522,2026-06-14T08:41:31.019571+00:00
cem,31390912357075263208060500522,HCM: Khu Liên cơ quan Bộ Tài Nguyên và Môi Trường - số 200 Đ. Lý Chính Thắng (KK),31390912357075263208060500522,2026-06-13 20:00,,28,missing,reported,,reported_hourly_pm25_aqi_nowcast,1,60,31390912357075263208060500522,2026-06-14T08:41:31.019571+00:00
cem,31390912357075263208060500522,HCM: Khu Liên cơ quan Bộ Tài Nguyên và Môi Trường - số 200 Đ. Lý Chính Thắng (KK),31390912357075263208060500522,2026-06-13 21:00,,37,missing,reported,,reported_hourly_pm25_aqi_nowcast,1,60,31390912357075263208060500522,2026-06-14T08:41:31.019571+00:00
cem,31390912357075263208060500522,HCM: Khu Liên cơ quan Bộ Tài Nguyên và Môi Trường - số 200 Đ. Lý Chính Thắng (KK),31390912357075263208060500522,2026-06-13 22:00,,37,missing,reported,,reported_hourly_pm25_aqi_nowcast,1,60,31390912357075263208060500522,2026-06-14T08:41:31.019571+00:00
cem,31390912357075263208060500522,HCM: Khu Liên cơ quan Bộ Tài Nguyên và Môi Trường - số 200 Đ. Lý Chính Thắng (KK),31390912357075263208060500522,2026-06-13 23:00,,26,missing,reported,,reported_hourly_pm25_aqi_nowcast,1,60,31390912357075263208060500522,2026-06-14T08:41:31.019571+00:00
cem,31390912357075263208060500522,HCM: Khu Liên cơ quan Bộ Tài Nguyên và Môi Trường - số 200 Đ. Lý Chính Thắng (KK),31390912357075263208060500522,2026-06-14 00:00,,27,missing,reported,,reported_hourly_pm25_aqi_nowcast,1,60,31390912357075263208060500522,2026-06-14T08:41:31.019571+00:00
cem,31390912357075263208060500522,HCM: Khu Liên cơ quan Bộ Tài Nguyên và Môi Trường - số 200 Đ. Lý Chính Thắng (KK),31390912357075263208060500522,2026-06-14 01:00,,59,missing,reported,,reported_hourly_pm25_aqi_nowcast,1,60,31390912357075263208060500522,2026-06-14T08:41:31.019571+00:00
cem,31390912357075263208060500522,HCM: Khu Liên cơ quan Bộ Tài Nguyên và Môi Trường - số 200 Đ. Lý Chính Thắng (KK),31390912357075263208060500522,2026-06-14 02:00,,51,missing,reported,,reported_hourly_pm25_aqi_nowcast,1,60,31390912357075263208060500522,2026-06-14T08:41:31.019571+00:00
cem,31390912357075263208060500522,HCM: Khu Liên cơ quan Bộ Tài Nguyên và Môi Trường - số 200 Đ. Lý Chính Thắng (KK),31390912357075263208060500522,2026-06-14 03:00,,52,missing,reported,,reported_hourly_pm25_aqi_nowcast,1,60,31390912357075263208060500522,2026-06-14T08:41:31.019571+00:00
cem,31390912357075263208060500522,HCM: Khu Liên cơ quan Bộ Tài Nguyên và Môi Trường - số 200 Đ. Lý Chính Thắng (KK),31390912357075263208060500522,2026-06-14 04:00,,57,missing,reported,,reported_hourly_pm25_aqi_nowcast,1,60,31390912357075263208060500522,2026-06-14T08:41:31.019571+00:00
cem,31390912357075263208060500522,HCM: Khu Liên cơ quan Bộ Tài Nguyên và Môi Trường - số 200 Đ. Lý Chính Thắng (KK),31390912357075263208060500522,2026-06-14 05:00,,66,missing,reported,,reported_hourly_pm25_aqi_nowcast,1,60,31390912357075263208060500522,2026-06-14T08:41:31.019571+00:00
cem,31390912357075263208060500522,HCM: Khu Liên cơ quan Bộ Tài Nguyên và Môi Trường - số 200 Đ. Lý Chính Thắng (KK),31390912357075263208060500522,2026-06-14 06:00,,60,missing,reported,,reported_hourly_pm25_aqi_nowcast,1,60,31390912357075263208060500522,2026-06-14T08:41:31.019571+00:00
cem,31390912357075263208060500522,HCM: Khu Liên cơ quan Bộ Tài Nguyên và Môi Trường - số 200 Đ. Lý Chính Thắng (KK),31390912357075263208060500522,2026-06-14 07:00,,54,missing,reported,,reported_hourly_pm25_aqi_nowcast,1,60,31390912357075263208060500522,2026-06-14T08:41:31.019571+00:00
cem,31390912357075263208060500522,HCM: Khu Liên cơ quan Bộ Tài Nguyên và Môi Trường - số 200 Đ. Lý Chính Thắng (KK),31390912357075263208060500522,2026-06-14 08:00,,59,missing,reported,,reported_hourly_pm25_aqi_nowcast,1,60,31390912357075263208060500522,2026-06-14T08:41:31.019571+00:00
cem,31390912357075263208060500522,HCM: Khu Liên cơ quan Bộ Tài Nguyên và Môi Trường - số 200 Đ. Lý Chính Thắng (KK),31390912357075263208060500522,2026-06-14 09:00,,80,missing,reported,,reported_hourly_pm25_aqi_nowcast,1,60,31390912357075263208060500522,2026-06-14T08:41:31.019571+00:00
cem,31390912357075263208060500522,HCM: Khu Liên cơ quan Bộ Tài Nguyên và Môi Trường - số 200 Đ. Lý Chính Thắng (KK),31390912357075263208060500522,2026-06-14 10:00,,83,missing,reported,,reported_hourly_pm25_aqi_nowcast,1,60,31390912357075263208060500522,2026-06-14T08:41:31.019571+00:00
cem,31390912357075263208060500522,HCM: Khu Liên cơ quan Bộ Tài Nguyên và Môi Trường - số 200 Đ. Lý Chính Thắng (KK),31390912357075263208060500522,2026-06-14 11:00,,63,missing,reported,,reported_hourly_pm25_aqi_nowcast,1,60,31390912357075263208060500522,2026-06-14T08:41:31.019571+00:00
cem,31390912357075263208060500522,HCM: Khu Liên cơ quan Bộ Tài Nguyên và Môi Trường - số 200 Đ. Lý Chính Thắng (KK),31390912357075263208060500522,2026-06-14 15:00,,7,missing,reported,,reported_hourly_pm25_aqi_nowcast,1,60,31390912357075263208060500522,2026-06-14T08:41:31.019571+00:00
cem,31390916083317566102523755051,HCM: Đ. Lê Hữu Kiều - P. Bình Trưng Tây - Quận 2 (Ngã ba Lê Hữu Kiểu và Trương Văn Bang) (KK),31390916083317566102523755051,2026-06-13 16:00,,82,missing,reported,,reported_hourly_pm25_aqi_nowcast,1,60,31390916083317566102523755051,2026-06-14T08:41:31.019571+00:00
cem,31390916083317566102523755051,HCM: Đ. Lê Hữu Kiều - P. Bình Trưng Tây - Quận 2 (Ngã ba Lê Hữu Kiểu và Trương Văn Bang) (KK),31390916083317566102523755051,2026-06-13 17:00,,60,missing,reported,,reported_hourly_pm25_aqi_nowcast,1,60,31390916083317566102523755051,2026-06-14T08:41:31.019571+00:00
cem,31390916083317566102523755051,HCM: Đ. Lê Hữu Kiều - P. Bình Trưng Tây - Quận 2 (Ngã ba Lê Hữu Kiểu và Trương Văn Bang) (KK),31390916083317566102523755051,2026-06-13 18:00,,44,missing,reported,,reported_hourly_pm25_aqi_nowcast,1,60,31390916083317566102523755051,2026-06-14T08:41:31.019571+00:00
cem,31390916083317566102523755051,HCM: Đ. Lê Hữu Kiều - P. Bình Trưng Tây - Quận 2 (Ngã ba Lê Hữu Kiểu và Trương Văn Bang) (KK),31390916083317566102523755051,2026-06-13 19:00,,33,missing,reported,,reported_hourly_pm25_aqi_nowcast,1,60,31390916083317566102523755051,2026-06-14T08:41:31.019571+00:00
cem,31390916083317566102523755051,HCM: Đ. Lê Hữu Kiều - P. Bình Trưng Tây - Quận 2 (Ngã ba Lê Hữu Kiểu và Trương Văn Bang) (KK),31390916083317566102523755051,2026-06-13 20:00,,23,missing,reported,,reported_hourly_pm25_aqi_nowcast,1,60,31390916083317566102523755051,2026-06-14T08:41:31.019571+00:00
cem,31390916083317566102523755051,HCM: Đ. Lê Hữu Kiều - P. Bình Trưng Tây - Quận 2 (Ngã ba Lê Hữu Kiểu và Trương Văn Bang) (KK),31390916083317566102523755051,2026-06-13 21:00,,29,missing,reported,,reported_hourly_pm25_aqi_nowcast,1,60,31390916083317566102523755051,2026-06-14T08:41:31.019571+00:00
cem,31390916083317566102523755051,HCM: Đ. Lê Hữu Kiều - P. Bình Trưng Tây - Quận 2 (Ngã ba Lê Hữu Kiểu và Trương Văn Bang) (KK),31390916083317566102523755051,2026-06-13 22:00,,29,missing,reported,,reported_hourly_pm25_aqi_nowcast,1,60,31390916083317566102523755051,2026-06-14T08:41:31.019571+00:00
cem,31390916083317566102523755051,HCM: Đ. Lê Hữu Kiều - P. Bình Trưng Tây - Quận 2 (Ngã ba Lê Hữu Kiểu và Trương Văn Bang) (KK),31390916083317566102523755051,2026-06-13 23:00,,26,missing,reported,,reported_hourly_pm25_aqi_nowcast,1,60,31390916083317566102523755051,2026-06-14T08:41:31.019571+00:00
cem,31390916083317566102523755051,HCM: Đ. Lê Hữu Kiều - P. Bình Trưng Tây - Quận 2 (Ngã ba Lê Hữu Kiểu và Trương Văn Bang) (KK),31390916083317566102523755051,2026-06-14 00:00,,27,missing,reported,,reported_hourly_pm25_aqi_nowcast,1,60,31390916083317566102523755051,2026-06-14T08:41:31.019571+00:00
cem,31390916083317566102523755051,HCM: Đ. Lê Hữu Kiều - P. Bình Trưng Tây - Quận 2 (Ngã ba Lê Hữu Kiểu và Trương Văn Bang) (KK),31390916083317566102523755051,2026-06-14 01:00,,34,missing,reported,,reported_hourly_pm25_aqi_nowcast,1,60,31390916083317566102523755051,2026-06-14T08:41:31.019571+00:00
cem,31390916083317566102523755051,HCM: Đ. Lê Hữu Kiều - P. Bình Trưng Tây - Quận 2 (Ngã ba Lê Hữu Kiểu và Trương Văn Bang) (KK),31390916083317566102523755051,2026-06-14 02:00,,28,missing,reported,,reported_hourly_pm25_aqi_nowcast,1,60,31390916083317566102523755051,2026-06-14T08:41:31.019571+00:00
cem,31390916083317566102523755051,HCM: Đ. Lê Hữu Kiều - P. Bình Trưng Tây - Quận 2 (Ngã ba Lê Hữu Kiểu và Trương Văn Bang) (KK),31390916083317566102523755051,2026-06-14 03:00,,17,missing,reported,,reported_hourly_pm25_aqi_nowcast,1,60,31390916083317566102523755051,2026-06-14T08:41:31.019571+00:00
cem,31390916083317566102523755051,HCM: Đ. Lê Hữu Kiều - P. Bình Trưng Tây - Quận 2 (Ngã ba Lê Hữu Kiểu và Trương Văn Bang) (KK),31390916083317566102523755051,2026-06-14 04:00,,12,missing,reported,,reported_hourly_pm25_aqi_nowcast,1,60,31390916083317566102523755051,2026-06-14T08:41:31.019571+00:00
cem,31390916083317566102523755051,HCM: Đ. Lê Hữu Kiều - P. Bình Trưng Tây - Quận 2 (Ngã ba Lê Hữu Kiểu và Trương Văn Bang) (KK),31390916083317566102523755051,2026-06-14 05:00,,11,missing,reported,,reported_hourly_pm25_aqi_nowcast,1,60,31390916083317566102523755051,2026-06-14T08:41:31.019571+00:00
cem,31390916083317566102523755051,HCM: Đ. Lê Hữu Kiều - P. Bình Trưng Tây - Quận 2 (Ngã ba Lê Hữu Kiểu và Trương Văn Bang) (KK),31390916083317566102523755051,2026-06-14 06:00,,16,missing,reported,,reported_hourly_pm25_aqi_nowcast,1,60,31390916083317566102523755051,2026-06-14T08:41:31.019571+00:00
