time_bin,dc1100_simple,dc1100_fit,dc1700_simple,airvisual_pm25
2019-08-25 11:30:00,21.990000000000002,41.05,28.84,38.0
2019-08-25 11:45:00,22.53,41.7,28.89,38.0
2019-08-25 12:00:00,21.08,39.8,27.479999999999997,41.0
2019-08-25 12:15:00,20.14,38.6,27.18,34.0
2019-08-25 12:30:00,19.78,38.1,26.189999999999998,38.0
2019-08-25 12:45:00,20.43,38.95,26.71,41.0
2019-08-25 13:00:00,18.49,36.3,23.905,41.0
2019-08-25 13:15:00,18.66,36.6,24.03,42.0
2019-08-25 13:30:00,18.23,36.0,23.57,42.0
2019-08-25 13:45:00,19.57,37.8,24.4,43.0
2019-08-25 14:00:00,18.63,36.5,23.259999999999998,39.0
2019-08-25 14:15:00,17.97,35.6,23.085,40.0
2019-08-25 14:30:00,17.314999999999998,34.7,22.32,41.0
2019-08-25 14:45:00,18.68,36.6,23.5,42.0
2019-08-25 15:00:00,17.795,35.4,23.585,47.0
2019-08-25 15:15:00,18.83,36.8,23.89,45.0
2019-08-25 15:30:00,19.705,38.0,24.3,42.0
2019-08-25 15:45:00,19.36,37.55,24.23,45.0
2019-08-25 16:00:00,19.285,37.45,23.91,43.0
2019-08-25 16:15:00,19.325000000000003,37.45,23.9,43.0
2019-08-25 16:30:00,20.925,39.650000000000006,26.1,46.0
2019-08-25 16:45:00,20.12,38.5,25.9,41.0
2019-08-25 17:00:00,22.14,41.2,28.63,44.0
2019-08-25 17:15:00,24.965,44.9,32.72,46.0
2019-08-25 17:30:00,26.24,46.5,34.12,48.0
2019-08-25 17:45:00,28.77,49.7,36.92,53.0
2019-08-25 18:00:00,30.015,51.3,38.43,54.0
2019-08-25 18:15:00,31.65,53.3,40.23,56.8
2019-08-25 18:30:00,34.1,56.3,41.790000000000006,44.0
2019-08-25 18:45:00,29.61,50.8,38.34,55.0
2019-08-25 19:00:00,32.254999999999995,54.05,41.245000000000005,55.0
2019-08-25 19:15:00,31.04,52.6,40.795,53.0
2019-08-25 19:30:00,31.75,53.4,41.675,54.0
2019-08-25 19:45:00,48.935,73.1,44.73,84.6
2019-08-25 20:00:00,47.38,71.4,44.85,74.7
2019-08-25 20:15:00,38.49,61.5,44.93,57.7
2019-08-25 20:30:00,32.355000000000004,54.15,41.005,51.0
2019-08-25 20:45:00,31.975,53.7,41.12,47.0
2019-08-25 21:00:00,31.87,53.6,41.34,46.0
2019-08-25 21:15:00,32.99,54.9,42.59,51.0
2019-08-25 21:30:00,29.69,50.9,38.34,51.0
2019-08-25 21:45:00,29.91,51.2,38.77,53.0
2019-08-25 22:00:00,34.86,57.2,42.79,55.9
2019-08-25 22:15:00,42.07,65.6,46.35,66.7
2019-08-25 22:30:00,48.555,72.69999999999999,46.95,72.9
2019-08-25 22:45:00,51.02,75.3,47.385000000000005,77.4
2019-08-25 23:00:00,52.39,76.7,48.56,84.6
2019-08-25 23:15:00,55.79,80.2,63.1,98.9
2019-08-25 23:30:00,66.06,90.2,82.49,98.0
2019-08-25 23:45:00,64.39,88.6,79.86,97.1
2019-08-26 00:00:00,58.51,82.9,64.555,81.9
2019-08-26 00:15:00,57.120000000000005,81.55,61.18,86.4
2019-08-26 00:30:00,56.495000000000005,80.95,59.73,79.2
2019-08-26 00:45:00,54.715,79.15,53.67,80.1
2019-08-26 01:00:00,54.06,78.5,52.125,72.9
2019-08-26 01:15:00,54.31,78.7,52.55,74.7
