pair,lag_bins,lag_minutes,r,n
DC1100 vs DC1700,-8,-120,0.8414585567288213,89047
DC1100 vs DC1700,-7,-105,0.8519075496582081,89048
DC1100 vs DC1700,-6,-90,0.8625376970617918,89049
DC1100 vs DC1700,-5,-75,0.8735717055213023,89050
DC1100 vs DC1700,-4,-60,0.884818735299392,89051
DC1100 vs DC1700,-3,-45,0.8963392796890249,89052
DC1100 vs DC1700,-2,-30,0.9082121968112743,89053
DC1100 vs DC1700,-1,-15,0.9205783784245987,89054
DC1100 vs DC1700,0,0,0.9313294440723113,89055
DC1100 vs DC1700,1,15,0.9216514983133813,89054
DC1100 vs DC1700,2,30,0.9101525969662931,89053
DC1100 vs DC1700,3,45,0.8988340548592963,89052
DC1100 vs DC1700,4,60,0.8876944931576213,89051
DC1100 vs DC1700,5,75,0.8767691589764459,89050
DC1100 vs DC1700,6,90,0.8660931158277458,89049
DC1100 vs DC1700,7,105,0.8558998063207035,89048
DC1100 vs DC1700,8,120,0.8459307351990466,89047
DC1100 vs AirVisual,-8,-120,0.7639694735331752,89047
DC1100 vs AirVisual,-7,-105,0.7736623053144194,89048
DC1100 vs AirVisual,-6,-90,0.7835970116080796,89049
DC1100 vs AirVisual,-5,-75,0.7939352776810544,89050
DC1100 vs AirVisual,-4,-60,0.8045694511631409,89051
DC1100 vs AirVisual,-3,-45,0.8152262843489008,89052
DC1100 vs AirVisual,-2,-30,0.8260155322179373,89053
DC1100 vs AirVisual,-1,-15,0.8372097370911922,89054
DC1100 vs AirVisual,0,0,0.8456669124962484,89055
DC1100 vs AirVisual,1,15,0.8379617873999176,89054
DC1100 vs AirVisual,2,30,0.827274885878204,89053
DC1100 vs AirVisual,3,45,0.8165657671304701,89052
DC1100 vs AirVisual,4,60,0.8059432234150035,89051
DC1100 vs AirVisual,5,75,0.7952607254551693,89050
DC1100 vs AirVisual,6,90,0.7848757471408523,89049
DC1100 vs AirVisual,7,105,0.7748925334170448,89048
DC1100 vs AirVisual,8,120,0.765106757861415,89047
DC1700 vs AirVisual,-8,-120,0.7937304153957805,89047
DC1700 vs AirVisual,-7,-105,0.8044883605849071,89048
DC1700 vs AirVisual,-6,-90,0.8156588107524938,89049
DC1700 vs AirVisual,-5,-75,0.827454105026738,89050
DC1700 vs AirVisual,-4,-60,0.8400449848759639,89051
DC1700 vs AirVisual,-3,-45,0.8529900914350483,89052
DC1700 vs AirVisual,-2,-30,0.8661161456139364,89053
DC1700 vs AirVisual,-1,-15,0.8797343609847934,89054
DC1700 vs AirVisual,0,0,0.8897164312768373,89055
DC1700 vs AirVisual,1,15,0.8792366607893957,89054
DC1700 vs AirVisual,2,30,0.8652434169622785,89053
DC1700 vs AirVisual,3,45,0.8516134514629075,89052
DC1700 vs AirVisual,4,60,0.8384148402147468,89051
DC1700 vs AirVisual,5,75,0.8254802153379865,89050
DC1700 vs AirVisual,6,90,0.8132621683913661,89049
DC1700 vs AirVisual,7,105,0.8015024774713614,89048
DC1700 vs AirVisual,8,120,0.7901389610785696,89047
